deletion_percentage,efs,recall,ndc,latency_ms,rderr,start_timestamp,end_timestamp
deletion_1pct,100,0.919367,3817.77,0.7719,1.001599,2025-12-07 17:45:15.071,2025-12-07 17:45:23.146
deletion_1pct,200,0.961021,6413.12,1.3269,1.000672,2025-12-07 17:45:23.147,2025-12-07 17:45:36.780
deletion_1pct,300,0.975659,8762.51,1.8398,1.000400,2025-12-07 17:45:36.781,2025-12-07 17:45:55.537
deletion_1pct,400,0.982517,10957.16,2.3289,1.000283,2025-12-07 17:45:55.538,2025-12-07 17:46:19.207
deletion_1pct,500,0.986434,13045.92,2.7929,1.000226,2025-12-07 17:46:19.207,2025-12-07 17:46:47.506
deletion_1pct,1000,0.994806,22531.07,4.9790,1.000074,2025-12-07 17:46:47.506,2025-12-07 17:47:37.662
deletion_1pct,1500,0.997035,31087.19,7.1241,1.000041,2025-12-07 17:47:37.662,2025-12-07 17:48:49.278
deletion_1pct,2000,0.998131,39109.73,9.1977,1.000026,2025-12-07 17:48:49.278,2025-12-07 17:50:21.641
deletion_2pct,100,0.919367,3817.77,0.7723,1.001599,2025-12-07 17:50:31.395,2025-12-07 17:50:39.488
deletion_2pct,200,0.961021,6413.12,1.3274,1.000672,2025-12-07 17:50:39.489,2025-12-07 17:50:53.140
deletion_2pct,300,0.975659,8762.51,1.8423,1.000400,2025-12-07 17:50:53.140,2025-12-07 17:51:11.942
deletion_2pct,400,0.982517,10957.16,2.3377,1.000283,2025-12-07 17:51:11.942,2025-12-07 17:51:35.706
deletion_2pct,500,0.986434,13045.92,2.8468,1.000226,2025-12-07 17:51:35.706,2025-12-07 17:52:04.568
deletion_2pct,1000,0.994806,22531.07,4.9834,1.000074,2025-12-07 17:52:04.568,2025-12-07 17:52:54.796
deletion_2pct,1500,0.997035,31087.19,7.1090,1.000041,2025-12-07 17:52:54.796,2025-12-07 17:54:06.279
deletion_2pct,2000,0.998131,39109.73,9.1623,1.000026,2025-12-07 17:54:06.279,2025-12-07 17:55:38.311
deletion_3pct,100,0.918551,3794.03,0.7691,1.001589,2025-12-07 17:55:48.155,2025-12-07 17:55:56.226
deletion_3pct,200,0.960269,6371.87,1.3202,1.000698,2025-12-07 17:55:56.226,2025-12-07 17:56:09.808
deletion_3pct,300,0.975343,8710.65,1.8329,1.000404,2025-12-07 17:56:09.808,2025-12-07 17:56:28.527
deletion_3pct,400,0.982250,10893.39,2.3283,1.000288,2025-12-07 17:56:28.527,2025-12-07 17:56:52.196
deletion_3pct,500,0.986309,12972.65,2.8042,1.000227,2025-12-07 17:56:52.197,2025-12-07 17:57:20.627
deletion_3pct,1000,0.994703,22410.24,5.0463,1.000075,2025-12-07 17:57:20.627,2025-12-07 17:58:11.490
deletion_3pct,1500,0.996996,30927.22,7.0412,1.000042,2025-12-07 17:58:11.491,2025-12-07 17:59:22.303
deletion_3pct,2000,0.998108,38914.19,9.0757,1.000026,2025-12-07 17:59:22.303,2025-12-07 18:00:53.465
deletion_4pct,100,0.918300,3789.52,0.7548,1.001604,2025-12-07 18:01:03.339,2025-12-07 18:01:11.283
deletion_4pct,200,0.960268,6364.16,1.3056,1.000695,2025-12-07 18:01:11.283,2025-12-07 18:01:24.721
deletion_4pct,300,0.975259,8699.12,1.8444,1.000405,2025-12-07 18:01:24.721,2025-12-07 18:01:43.570
deletion_4pct,400,0.982210,10879.32,2.3290,1.000288,2025-12-07 18:01:43.571,2025-12-07 18:02:07.252
deletion_4pct,500,0.986266,12955.47,2.8004,1.000228,2025-12-07 18:02:07.253,2025-12-07 18:02:35.649
deletion_4pct,1000,0.994681,22382.25,5.0199,1.000076,2025-12-07 18:02:35.649,2025-12-07 18:03:26.245
deletion_4pct,1500,0.996988,30889.27,7.1520,1.000042,2025-12-07 18:03:26.245,2025-12-07 18:04:38.178
deletion_4pct,2000,0.998103,38866.91,9.1763,1.000026,2025-12-07 18:04:38.178,2025-12-07 18:06:10.356
deletion_5pct,100,0.917227,3762.21,0.7649,1.001620,2025-12-07 18:06:20.565,2025-12-07 18:06:28.628
deletion_5pct,200,0.959922,6322.01,1.3163,1.000695,2025-12-07 18:06:28.629,2025-12-07 18:06:42.194
deletion_5pct,300,0.974913,8641.28,1.8561,1.000410,2025-12-07 18:06:42.194,2025-12-07 18:07:01.169
deletion_5pct,400,0.981873,10807.93,2.3090,1.000295,2025-12-07 18:07:01.169,2025-12-07 18:07:24.663
deletion_5pct,500,0.985961,12872.95,2.7761,1.000234,2025-12-07 18:07:24.663,2025-12-07 18:07:52.841
deletion_5pct,1000,0.994592,22251.91,4.9650,1.000077,2025-12-07 18:07:52.841,2025-12-07 18:08:42.899
deletion_5pct,1500,0.996945,30715.24,7.0699,1.000042,2025-12-07 18:08:42.900,2025-12-07 18:09:54.015
deletion_5pct,2000,0.998075,38653.28,9.1209,1.000026,2025-12-07 18:09:54.015,2025-12-07 18:11:25.656
deletion_10pct,100,0.913657,3691.07,0.7443,1.001726,2025-12-07 18:11:36.176,2025-12-07 18:11:44.028
deletion_10pct,200,0.958375,6208.83,1.2923,1.000725,2025-12-07 18:11:44.028,2025-12-07 18:11:57.375
deletion_10pct,300,0.973727,8488.58,1.7904,1.000435,2025-12-07 18:11:57.376,2025-12-07 18:12:15.716
deletion_10pct,400,0.981131,10622.84,2.2733,1.000306,2025-12-07 18:12:15.716,2025-12-07 18:12:38.898
deletion_10pct,500,0.985470,12655.96,2.7449,1.000241,2025-12-07 18:12:38.898,2025-12-07 18:13:06.785
deletion_10pct,1000,0.994387,21889.50,4.9665,1.000079,2025-12-07 18:13:06.785,2025-12-07 18:13:56.908
deletion_10pct,1500,0.996845,30225.75,7.0126,1.000043,2025-12-07 18:13:56.908,2025-12-07 18:15:07.482
deletion_10pct,2000,0.997991,38049.33,9.0419,1.000027,2025-12-07 18:15:07.483,2025-12-07 18:16:38.367
deletion_15pct,100,0.909231,3601.75,0.7278,1.001828,2025-12-07 18:16:49.658,2025-12-07 18:16:57.381
deletion_15pct,200,0.956145,6063.60,1.2615,1.000752,2025-12-07 18:16:57.381,2025-12-07 18:17:10.453
deletion_15pct,300,0.972404,8294.62,1.7532,1.000449,2025-12-07 18:17:10.453,2025-12-07 18:17:28.435
deletion_15pct,400,0.980065,10381.49,2.2243,1.000318,2025-12-07 18:17:28.435,2025-12-07 18:17:51.137
deletion_15pct,500,0.984604,12371.74,2.6834,1.000250,2025-12-07 18:17:51.137,2025-12-07 18:18:18.417
deletion_15pct,1000,0.993986,21425.18,4.8557,1.000088,2025-12-07 18:18:18.417,2025-12-07 18:19:07.445
deletion_15pct,1500,0.996753,29602.29,6.8531,1.000043,2025-12-07 18:19:07.445,2025-12-07 18:20:16.439
deletion_15pct,2000,0.997879,37280.59,8.7969,1.000029,2025-12-07 18:20:16.439,2025-12-07 18:21:44.879
