deletion_type,deletion_percentage,efs,recall,ndc,latency_ms,rderr,max_candidate_set_size,start_timestamp,end_timestamp
lazy_deletion_1pct,1.00,100,0.901618,3771.90,0.7747,1.002033,1066,2025-12-11 05:02:51.652,2025-12-11 05:02:59.752
lazy_deletion_1pct,1.00,200,0.946921,6324.30,1.3341,1.001026,1559,2025-12-11 05:03:14.706,2025-12-11 05:03:28.469
lazy_deletion_1pct,1.00,300,0.963004,8635.63,1.8403,1.000704,2069,2025-12-11 05:03:46.845,2025-12-11 05:04:05.596
lazy_deletion_1pct,1.00,400,0.970747,10801.09,2.3262,1.000562,2558,2025-12-11 05:04:28.959,2025-12-11 05:04:52.586
lazy_deletion_1pct,1.00,500,0.975487,12863.98,2.8023,1.000482,2973,2025-12-11 05:05:20.823,2025-12-11 05:05:49.201
lazy_deletion_2pct,2.00,100,0.893068,3799.78,0.7727,1.002295,1071,2025-12-11 05:06:04.589,2025-12-11 05:06:12.680
lazy_deletion_2pct,2.00,200,0.937653,6373.81,1.3275,1.001287,1581,2025-12-11 05:06:25.924,2025-12-11 05:06:39.553
lazy_deletion_2pct,2.00,300,0.953421,8703.94,1.8386,1.000967,2089,2025-12-11 05:06:57.944,2025-12-11 05:07:16.694
lazy_deletion_2pct,2.00,400,0.961047,10886.70,2.3276,1.000825,2571,2025-12-11 05:07:40.054,2025-12-11 05:08:03.705
lazy_deletion_2pct,2.00,500,0.965759,12965.98,2.8553,1.000744,2995,2025-12-11 05:08:32.245,2025-12-11 05:09:01.169
lazy_deletion_3pct,3.00,100,0.884983,3828.24,0.8047,1.002539,1081,2025-12-11 05:09:16.823,2025-12-11 05:09:25.257
lazy_deletion_3pct,3.00,200,0.928672,6422.45,1.3851,1.001542,1579,2025-12-11 05:09:39.010,2025-12-11 05:09:53.234
lazy_deletion_3pct,3.00,300,0.944180,8773.84,1.8477,1.001222,2108,2025-12-11 05:10:11.748,2025-12-11 05:10:30.619
lazy_deletion_3pct,3.00,400,0.951629,10975.12,2.3590,1.001079,2592,2025-12-11 05:10:54.398,2025-12-11 05:11:18.351
lazy_deletion_3pct,3.00,500,0.956239,13071.25,2.8396,1.001000,3016,2025-12-11 05:11:46.695,2025-12-11 05:12:15.451
lazy_deletion_4pct,4.00,100,0.876203,3859.23,0.7879,1.002811,1087,2025-12-11 05:12:32.104,2025-12-11 05:12:40.340
lazy_deletion_4pct,4.00,200,0.918829,6474.16,1.3555,1.001821,1580,2025-12-11 05:12:53.894,2025-12-11 05:13:07.822
lazy_deletion_4pct,4.00,300,0.934108,8844.41,1.9144,1.001501,2122,2025-12-11 05:13:26.635,2025-12-11 05:13:46.151
lazy_deletion_4pct,4.00,400,0.941433,11065.32,2.3577,1.001359,2601,2025-12-11 05:14:10.111,2025-12-11 05:14:34.071
lazy_deletion_4pct,4.00,500,0.945892,13178.16,2.8952,1.001281,3033,2025-12-11 05:15:03.420,2025-12-11 05:15:32.750
lazy_deletion_5pct,5.00,100,0.868113,3886.97,0.7870,1.003059,1101,2025-12-11 05:15:49.356,2025-12-11 05:15:57.578
lazy_deletion_5pct,5.00,200,0.910096,6525.89,1.3585,1.002067,1591,2025-12-11 05:16:11.107,2025-12-11 05:16:25.049
lazy_deletion_5pct,5.00,300,0.924988,8916.52,1.8811,1.001755,2139,2025-12-11 05:16:43.882,2025-12-11 05:17:03.067
lazy_deletion_5pct,5.00,400,0.932144,11156.10,2.3971,1.001613,2634,2025-12-11 05:17:27.214,2025-12-11 05:17:51.549
lazy_deletion_5pct,5.00,500,0.936608,13287.02,2.9435,1.001534,3057,2025-12-11 05:18:20.423,2025-12-11 05:18:50.233
lazy_deletion_10pct,10.00,100,0.827280,4039.55,0.8460,1.004353,1129,2025-12-11 05:19:06.756,2025-12-11 05:19:15.577
lazy_deletion_10pct,10.00,200,0.865349,6797.79,1.4057,1.003400,1685,2025-12-11 05:19:29.630,2025-12-11 05:19:44.053
lazy_deletion_10pct,10.00,300,0.878749,9292.53,1.9530,1.003098,2246,2025-12-11 05:20:03.535,2025-12-11 05:20:23.434
lazy_deletion_10pct,10.00,400,0.885193,11633.37,2.4795,1.002958,2746,2025-12-11 05:20:48.200,2025-12-11 05:21:13.354
lazy_deletion_10pct,10.00,500,0.889193,13857.64,3.0206,1.002876,3200,2025-12-11 05:21:43.285,2025-12-11 05:22:13.870
lazy_deletion_15pct,15.00,100,0.784640,4217.69,0.8527,1.005782,1169,2025-12-11 05:22:31.341,2025-12-11 05:22:40.160
lazy_deletion_15pct,15.00,200,0.818636,7106.61,1.4988,1.004868,1725,2025-12-11 05:22:54.972,2025-12-11 05:23:10.267
lazy_deletion_15pct,15.00,300,0.830464,9720.77,2.0961,1.004576,2310,2025-12-11 05:23:31.155,2025-12-11 05:23:52.403
lazy_deletion_15pct,15.00,400,0.836264,12169.01,2.7174,1.004443,2830,2025-12-11 05:24:18.939,2025-12-11 05:24:46.407
lazy_deletion_15pct,15.00,500,0.839850,14496.59,3.2252,1.004364,3321,2025-12-11 05:25:18.038,2025-12-11 05:25:50.578
lazy_deletion_20pct,20.00,100,0.742150,4409.47,0.8838,1.007304,1204,2025-12-11 05:26:09.298,2025-12-11 05:26:18.479
lazy_deletion_20pct,20.00,200,0.772565,7444.86,1.5359,1.006410,1798,2025-12-11 05:26:33.809,2025-12-11 05:26:49.503
lazy_deletion_20pct,20.00,300,0.782919,10187.91,2.1845,1.006139,2457,2025-12-11 05:27:11.494,2025-12-11 05:27:33.683
lazy_deletion_20pct,20.00,400,0.788049,12761.08,2.7579,1.006014,2983,2025-12-11 05:28:01.657,2025-12-11 05:28:29.579
lazy_deletion_20pct,20.00,500,0.791093,15203.43,3.3412,1.005940,3510,2025-12-11 05:29:03.320,2025-12-11 05:29:37.080
real_deletion_1pct,1.00,100,0.900611,3724.22,0.7890,1.002058,1060,2025-12-11 05:30:01.666,2025-12-11 05:30:09.984
real_deletion_1pct,1.00,200,0.946695,6241.16,1.3505,1.001025,1589,2025-12-11 05:30:22.973,2025-12-11 05:30:36.991
real_deletion_1pct,1.00,300,0.962676,8519.19,1.9360,1.000712,2068,2025-12-11 05:30:56.982,2025-12-11 05:31:16.850
real_deletion_1pct,1.00,400,0.970356,10653.47,2.5246,1.000572,2530,2025-12-11 05:31:41.859,2025-12-11 05:32:07.623
real_deletion_1pct,1.00,500,0.975269,12688.67,2.9672,1.000485,2940,2025-12-11 05:32:38.304,2025-12-11 05:33:08.557
real_deletion_2pct,2.00,100,0.891324,3702.17,1.0362,1.002355,1091,2025-12-11 05:33:46.500,2025-12-11 05:33:57.535
real_deletion_2pct,2.00,200,0.936608,6204.50,1.7417,1.001305,1586,2025-12-11 05:34:15.116,2025-12-11 05:34:33.196
real_deletion_2pct,2.00,300,0.952847,8473.29,2.1655,1.000980,2113,2025-12-11 05:34:54.874,2025-12-11 05:35:17.148
real_deletion_2pct,2.00,400,0.960589,10595.65,2.6223,1.000832,2556,2025-12-11 05:35:43.360,2025-12-11 05:36:10.206
real_deletion_2pct,2.00,500,0.965368,12621.09,3.0554,1.000750,2988,2025-12-11 05:36:40.350,2025-12-11 05:37:11.517
real_deletion_3pct,3.00,100,0.882546,3680.00,0.9031,1.002581,1028,2025-12-11 05:37:51.939,2025-12-11 05:38:01.550
real_deletion_3pct,3.00,200,0.927455,6170.42,1.5566,1.001553,1529,2025-12-11 05:38:17.185,2025-12-11 05:38:33.333
real_deletion_3pct,3.00,300,0.943071,8425.09,1.9854,1.001239,2096,2025-12-11 05:38:56.397,2025-12-11 05:39:16.830
real_deletion_3pct,3.00,400,0.950767,10539.38,2.4370,1.001094,2612,2025-12-11 05:39:40.549,2025-12-11 05:40:05.477
real_deletion_3pct,3.00,500,0.955618,12555.38,2.9161,1.001003,3087,2025-12-11 05:40:33.806,2025-12-11 05:41:03.534
real_deletion_4pct,4.00,100,0.872467,3660.14,0.7982,1.002904,1092,2025-12-11 05:41:49.267,2025-12-11 05:41:57.795
real_deletion_4pct,4.00,200,0.917249,6137.40,1.4651,1.001834,1569,2025-12-11 05:42:12.081,2025-12-11 05:42:27.227
real_deletion_4pct,4.00,300,0.932890,8382.17,1.9733,1.001514,2032,2025-12-11 05:42:47.573,2025-12-11 05:43:07.861
real_deletion_4pct,4.00,400,0.940664,10488.14,2.4263,1.001359,2503,2025-12-11 05:43:35.661,2025-12-11 05:44:00.425
real_deletion_4pct,4.00,500,0.945368,12493.38,2.7654,1.001277,2934,2025-12-11 05:44:28.424,2025-12-11 05:44:56.637
real_deletion_5pct,5.00,100,0.863665,3644.29,0.7586,1.003193,1085,2025-12-11 05:45:52.165,2025-12-11 05:46:00.258
real_deletion_5pct,5.00,200,0.907402,6107.23,1.3282,1.002155,1586,2025-12-11 05:46:13.463,2025-12-11 05:46:27.234
real_deletion_5pct,5.00,300,0.923437,8345.81,1.8002,1.001781,2040,2025-12-11 05:46:45.656,2025-12-11 05:47:04.191
real_deletion_5pct,5.00,400,0.930992,10439.11,2.4094,1.001630,2527,2025-12-11 05:47:27.641,2025-12-11 05:47:52.350
real_deletion_5pct,5.00,500,0.935854,12438.60,2.8524,1.001537,2923,2025-12-11 05:48:21.051,2025-12-11 05:48:50.101
real_deletion_10pct,10.00,100,0.819726,3572.30,0.7883,1.004571,967,2025-12-11 05:50:16.295,2025-12-11 05:50:24.676
real_deletion_10pct,10.00,200,0.861023,5987.10,1.4186,1.003505,1612,2025-12-11 05:50:38.584,2025-12-11 05:50:53.372
real_deletion_10pct,10.00,300,0.875790,8183.36,1.9564,1.003165,2123,2025-12-11 05:51:13.122,2025-12-11 05:51:33.231
real_deletion_10pct,10.00,400,0.882839,10240.84,2.5086,1.003002,2557,2025-12-11 05:51:58.087,2025-12-11 05:52:23.686
real_deletion_10pct,10.00,500,0.887249,12202.27,3.0125,1.002915,2956,2025-12-11 05:52:53.865,2025-12-11 05:53:24.524
real_deletion_15pct,15.00,100,0.772621,3517.07,0.7323,1.006188,1169,2025-12-11 05:55:19.857,2025-12-11 05:55:27.729
real_deletion_15pct,15.00,200,0.811946,5908.03,1.2863,1.005043,1654,2025-12-11 05:55:40.891,2025-12-11 05:55:54.278
real_deletion_15pct,15.00,300,0.826039,8080.68,1.8553,1.004694,2009,2025-12-11 05:56:13.473,2025-12-11 05:56:32.554
real_deletion_15pct,15.00,400,0.833070,10118.75,2.3042,1.004519,2448,2025-12-11 05:56:55.315,2025-12-11 05:57:18.886
real_deletion_15pct,15.00,500,0.837522,12064.21,2.7441,1.004411,2847,2025-12-11 05:57:46.434,2025-12-11 05:58:14.403
real_deletion_20pct,20.00,100,0.727901,3489.23,0.7718,1.007848,950,2025-12-11 06:00:07.713,2025-12-11 06:00:15.917
real_deletion_20pct,20.00,200,0.764428,5865.60,1.3465,1.006674,1485,2025-12-11 06:00:29.915,2025-12-11 06:00:43.878
real_deletion_20pct,20.00,300,0.776896,8028.71,1.8882,1.006357,1965,2025-12-11 06:01:02.290,2025-12-11 06:01:21.765
real_deletion_20pct,20.00,400,0.783970,10070.15,2.3840,1.006130,2372,2025-12-11 06:01:45.987,2025-12-11 06:02:10.330
real_deletion_20pct,20.00,500,0.787785,12007.64,2.9291,1.006034,2749,2025-12-11 06:02:39.166,2025-12-11 06:03:09.045
