Percentage,Recall,Latency_ms,Accessed_Nodes,Mean_Out_Degree
2.0000,0.7814,0.5937,2052.6380,22.9165
4.0000,0.8127,0.6271,2271.7499,24.5295
6.0000,0.8352,0.6674,2528.9652,26.6623
8.0000,0.8528,0.7088,2747.3605,28.6714
10.0000,0.8650,0.7335,2921.0869,30.4248
12.0000,0.8740,0.7516,3056.4617,31.8948
14.0000,0.8812,0.7712,3166.9888,33.1339
16.0000,0.8865,0.7896,3255.5641,34.1887
18.0000,0.8911,0.8014,3330.5002,35.1018
20.0000,0.8948,0.8143,3394.8011,35.9021
22.0000,0.8981,0.8209,3449.5274,36.6082
24.0000,0.9006,0.8273,3496.4081,37.2345
26.0000,0.9031,0.8393,3538.1870,37.7952
28.0000,0.9052,0.8426,3575.2633,38.3007
30.0000,0.9071,0.8494,3608.4041,38.7586
